wrds_feature;wrds_name;unit;TTM;;;;
current_assets;ACT;mill;no;;;;
total_assets;AT;mill;no;;;;
current_liabilites;LCT;mill;no;;;;
total_liabilites;LT;mill;no;;;;
inventories;INVT;mill;no;;;;
cash;CH;mill;no;;;;
cash_and_eq;CHE;mill;no;;;;
op_cash_flow;OANCF;mill;sum;;;;
stockholders_equity;TEQ;mill;no;;;;
op_income_ad;OIADP;mill;sum;;;;
op_income_bd;OIBDP;mill;sum;;;;
interest_expense;XINT;mill;sum;;;;
short_debt;DLC;mill;no;;;;
long_debt;DLTT;mill;no;;;;
net_sales;SALE;mill;sum;;;;
cost_goods_sold;COGS;mill;no;;;;
;;;;gross_profit;GPQ;mill;
income_bex;IB;mill;sum;;;;
;;;;extra_items;XIQ;mill;
preferred_equity;PSTK;mill;no;;;;
dep_am;DP;mill;no;;;;
;;;;working_capital_change;WCAPCHCY;mill;
working_capital_changes;WCAPCH;mill;no;;;;
capex;CAPX;mill;sum;;;;
revenue;REVT;mill;sum;;;;
;;;;dividends;DVTQ;mill;
equity;CEQ;mill;no;;;;
op_expense;XOPR;mill;sum;;;;
;;;;disc_ops;DOQ;;
extra_disc;XIDO;mill;sum;;;;
extra;XI;mill;sum;;;;
disc;DO;mill;sum;;;;
;;;;disc_rel;OANCFDY;mill;
net_income;NI;mill;sum;;;;
ebit;EBIT;mill;sum;;;;
ebitda;EBITDA;mill;sum;;;;
earnings_per_share;EPSPI;ratio;sum;;;;
adjustment_factor_y;AJEX;factor;;;;;
shares_outstanding_y;CSHO;mill;;;;;
ggroup;GGROUP;;;;;;
gind;GIND;;;;;;
gsector;GSECTOR;;;;;;
gsubind;GSUBIND;;;;;;
